初測格式化失敗                         {T452}
業務端口測試                           {T453}
Higig口自環測試                        {T454}
PCI配置寄存器讀寫測試                  {T455}
S-Channel寄存器讀寫測試                {T456}
SOC寄存器讀寫測試                      {T457}
Higig口互連測試                        {T458}
MOTFCC測試                             {T459}
RTL8139D端口測試                       {T460}
I2C0測試                               {T461}
I2C1測試                               {T462}
DS1820測試                             {T463}
RTC測試                                {T464}
背板類型檢查                           {T465}
Slot/Chassis CPLD測試                  {T466}
電源CPLD測試                           {T467}
風扇CPLD測試                           {T468}
卡在位CPLD測試                         {T469}
背板ResetInsert測試                    {T470}
端口燈點亮熄滅測試                     {T471}
RUN指示燈測試                          {T472}
M/S指示燈測試                          {T473}
SWAP鍵測試                             {T474}
板卡Reset鍵測試                        {T475}
背板RST-IN1鍵測試                      {T476}
背板RST-IN2鍵測試                      {T477}
用戶軟體寫入測試                       {T478}
處理超時                               {T479}
產品複測SN檢查不符                     {T480}
記憶體檢測                             {T481}
產品複測MAC檢查不符                    {T482}
產品複測Hardware Version檢查不符       {T483}
產品複測Board Type檢查不符             {T484}
背板電源通道測試                       {T485}
背板風扇通道測試                       {T486}
背板到線卡的I2C通道測試                {T487}
背板機箱類型測試                       {T488}
背板槽位號測試                         {T489}
背板線卡在位測試                       {T490}
背板電源在位測試                       {T491}
背板風扇在位測試                       {T492}
背板重定信號通道測試                   {T493}
背板管理通道測試                       {T494}
雙BOOTROM測試                          {T495}
主控板上的CF卡測試                     {T496}
CPLD器件介面測試                       {T497}
風扇控制I2C介面測試                    {T498}
管理通道測試                           {T499}
主控板上的NVRAM測試                    {T500}
下載口測試                             {T501}
與單片機相連的SPI通道測試              {T502}
與單片機相連的I2C通道測試              {T503}
單片機間發送握手信號測試               {T504}
FLASH測試                              {T505}
風扇指示燈測試                         {T506}
CF卡指示燈測試                         {T507}
所有指示燈點綠點紅熄滅測試             {T508}
電子切換開關AD8158的I2C測試            {T509}
產品複測RTC檢查不符                    {T510}
風扇控制測試		               {T511}
SFP信息讀取測試	               	       {T512}
Fastlink測試           		       {T513}
XFP模塊測試        		       {T514}
SFP信號發射使能測試            	       {T515}
PHY微碼測試                            {T516}
